"Attribute1","Attribute2","Attribute3","k","Accuracy","Sensitivity","Specificity"
"isJL1","isTWY03","ScaleYearsWithCurrManager",21,82.267816091954,95.8904109589042,11.2357142857143
"isJL1","isTWY03","ScaleYearsWithCurrManager",22,82.2528735632184,95.8904109589042,11.1428571428571
"isJL1","isTWY03","ScaleYearsWithCurrManager",23,82.2241379310345,95.8904109589042,10.9642857142857
"isJL1","isTWY03","ScaleYearsWithCurrManager",24,82.2321839080459,95.8904109589042,11.0142857142857
"isJL1","isTWY03","ScaleYearsWithCurrManager",25,82.3022988505747,95.8904109589042,11.45
"isJL1","isTWY03","ScaleYearsWithCurrManager",26,82.2287356321839,95.8904109589042,10.9928571428571
"isJL1","isTWY03","ScaleYearsWithCurrManager",27,82.235632183908,95.8904109589042,11.0357142857143
"isJL1","isTWY03","ScaleYearsWithCurrManager",28,82.2724137931034,95.8904109589042,11.2642857142857
"isJL1","isTWY03","ScaleYearsWithCurrManager",29,82.2103448275863,95.8904109589042,10.8785714285714
"isJL1","isTWY03","ScaleYearsWithCurrManager",30,82.2689655172413,95.8904109589042,11.2428571428571
"isSingle","ScaleMonthlyIncome","SO30",5,82.2988505747128,95.4794520547946,13.5714285714286
"isSingle","ScaleMonthlyIncome","SO30",6,83.0356321839081,95.9917808219178,15.4785714285714
"isSingle","ScaleMonthlyIncome","SO30",7,84.1436781609196,97.6054794520548,13.95
"isSingle","ScaleMonthlyIncome","SO30",8,83.6471264367816,97.1616438356164,13.1785714285714
"isSingle","ScaleMonthlyIncome","SO30",9,83.6781609195402,97.2602739726028,12.8571428571428
"isSingle","ScaleMonthlyIncome","SO30",10,83.6379310344828,97.1301369863014,13.2857142857143
"isSingle","ScaleMonthlyIncome","SO30",11,83.9149425287357,97.8835616438357,11.0785714285714
"isSingle","ScaleMonthlyIncome","SO30",12,83.9747126436782,98.2397260273973,9.59285714285713
"isSingle","ScaleMonthlyIncome","SO30",13,83.448275862069,98.0821917808218,7.14285714285714
"isSingle","ScaleMonthlyIncome","SO30",14,83.416091954023,98.1753424657535,6.45714285714284
"isSingle","ScaleMonthlyIncome","SO30",15,83.5632183908046,98.4931506849317,5.7142857142857
"isSingle","ScaleMonthlyIncome","SO30",16,83.7735632183908,98.6260273972603,6.32857142857142
